[3259] Genel Hata: invalid color argument
[2357] Genel Hata: 'NoneType' object is not subscriptable
[2413] Genel Hata: 'NoneType' object is not subscriptable
[23677] Genel Hata: invalid color argument
[24260] Genel Hata: invalid color argument
[23081] Genel Hata: invalid color argument
[20294] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[17604] Genel Hata: 'username'
[23502] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[18521] Genel Hata: 'username'
[20951] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[54014] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[55512] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[56147] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[56665] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[57078] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[57648] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[59661] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[62583] Genel Hata: Database.get_user_settings() missing 1 required positional argument: 'username'
[21994] Genel Hata: Database.get_user_settings() missing 1 required positional argument: 'username'
[24817] Genel Hata: Database.get_user_settings() missing 1 required positional argument: 'username'
[21253] Genel Hata: 'Database' object has no attribute 'close'
[26975] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[69229] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[70899] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[71365] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[71712] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[72099] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[122455] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[123390] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[127087] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[127608] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[127924] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[128128] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[128296] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[128450] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[128632] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[128798] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[128950] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[129118] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[129303] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[129469] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[129671] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[129857] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[130037] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[130204] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[130372] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[130572] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[130756] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[131102] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[131255] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[131454] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[131638] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[131841] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[132024] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[132208] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[132802] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[133172] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[133588] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[133876] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[134122] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[134342] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[134569] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[134738] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[135004] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[135220] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[135420] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[135599] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[135816] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
